Epoch: [4][0/360]	 lr:0.01000	Time 0.705 (0.705)	Loss 0.0005 (0.0005)	Prec@1 100.000 (100.000)	
Epoch: [4][10/360]	 lr:0.01000	Time 0.092 (0.169)	Loss 0.0029 (0.0023)	Prec@1 98.438 (99.148)	
Epoch: [4][20/360]	 lr:0.01000	Time 0.090 (0.138)	Loss 0.0022 (0.0023)	Prec@1 98.438 (99.256)	
Epoch: [4][30/360]	 lr:0.01000	Time 0.158 (0.129)	Loss 0.0013 (0.0021)	Prec@1 100.000 (99.446)	
Epoch: [4][40/360]	 lr:0.01000	Time 0.107 (0.125)	Loss 0.0021 (0.0025)	Prec@1 100.000 (99.466)	
Epoch: [4][50/360]	 lr:0.01000	Time 0.081 (0.122)	Loss 0.0023 (0.0024)	Prec@1 100.000 (99.479)	
Epoch: [4][60/360]	 lr:0.01000	Time 0.093 (0.117)	Loss 0.0042 (0.0023)	Prec@1 98.438 (99.513)	
Epoch: [4][70/360]	 lr:0.01000	Time 0.092 (0.114)	Loss 0.0019 (0.0022)	Prec@1 100.000 (99.560)	
Epoch: [4][80/360]	 lr:0.01000	Time 0.079 (0.113)	Loss 0.0023 (0.0023)	Prec@1 98.438 (99.537)	
Epoch: [4][90/360]	 lr:0.01000	Time 0.147 (0.113)	Loss 0.0034 (0.0022)	Prec@1 98.438 (99.536)	
Epoch: [4][100/360]	 lr:0.01000	Time 0.098 (0.115)	Loss 0.0003 (0.0021)	Prec@1 100.000 (99.567)	
Epoch: [4][110/360]	 lr:0.01000	Time 0.089 (0.115)	Loss 0.0028 (0.0022)	Prec@1 98.438 (99.564)	
Epoch: [4][120/360]	 lr:0.01000	Time 0.130 (0.117)	Loss 0.0014 (0.0023)	Prec@1 100.000 (99.548)	
Epoch: [4][130/360]	 lr:0.01000	Time 0.090 (0.115)	Loss 0.0031 (0.0025)	Prec@1 98.438 (99.535)	
Epoch: [4][140/360]	 lr:0.01000	Time 0.098 (0.114)	Loss 0.0028 (0.0025)	Prec@1 100.000 (99.512)	
Epoch: [4][150/360]	 lr:0.01000	Time 0.094 (0.113)	Loss 0.0034 (0.0025)	Prec@1 98.438 (99.503)	
Epoch: [4][160/360]	 lr:0.01000	Time 0.102 (0.111)	Loss 0.0087 (0.0025)	Prec@1 96.875 (99.447)	
Epoch: [4][170/360]	 lr:0.01000	Time 0.102 (0.110)	Loss 0.0003 (0.0025)	Prec@1 100.000 (99.461)	
Epoch: [4][180/360]	 lr:0.01000	Time 0.078 (0.109)	Loss 0.0006 (0.0024)	Prec@1 100.000 (99.456)	
Epoch: [4][190/360]	 lr:0.01000	Time 0.087 (0.108)	Loss 0.0155 (0.0026)	Prec@1 96.875 (99.444)	
Epoch: [4][200/360]	 lr:0.01000	Time 0.084 (0.108)	Loss 0.0053 (0.0026)	Prec@1 96.875 (99.425)	
Epoch: [4][210/360]	 lr:0.01000	Time 0.109 (0.107)	Loss 0.0006 (0.0025)	Prec@1 100.000 (99.437)	
Epoch: [4][220/360]	 lr:0.01000	Time 0.109 (0.106)	Loss 0.0010 (0.0025)	Prec@1 100.000 (99.441)	
Epoch: [4][230/360]	 lr:0.01000	Time 0.080 (0.106)	Loss 0.0145 (0.0026)	Prec@1 93.750 (99.425)	
Epoch: [4][240/360]	 lr:0.01000	Time 0.086 (0.105)	Loss 0.0009 (0.0028)	Prec@1 100.000 (99.384)	
Epoch: [4][250/360]	 lr:0.01000	Time 0.084 (0.105)	Loss 0.0003 (0.0028)	Prec@1 100.000 (99.377)	
