Epoch: [38][490/4095]	 lr:0.01000	Time 0.318 (0.355)	Loss 0.0084 (0.0530)	KL_Loss 0.0740 (0.1915)	Feat_map_Loss 0.4008 (0.3567)	Overall_Loss 0.2416 (0.3006)	Prec@1 96.875 (90.320)	
Epoch: [38][500/4095]	 lr:0.01000	Time 0.344 (0.355)	Loss 0.0042 (0.0524)	KL_Loss 0.0697 (0.1895)	Feat_map_Loss 0.3892 (0.3565)	Overall_Loss 0.2316 (0.2992)	Prec@1 100.000 (90.435)	
Epoch: [38][510/4095]	 lr:0.01000	Time 0.340 (0.355)	Loss 0.0412 (0.0523)	KL_Loss 0.0977 (0.1881)	Feat_map_Loss 0.3029 (0.3570)	Overall_Loss 0.2209 (0.2987)	Prec@1 96.875 (90.497)	
Epoch: [38][520/4095]	 lr:0.01000	Time 0.448 (0.354)	Loss 0.0231 (0.0520)	KL_Loss 0.0960 (0.1865)	Feat_map_Loss 0.3634 (0.3569)	Overall_Loss 0.2413 (0.2977)	Prec@1 95.312 (90.583)	
Epoch: [38][530/4095]	 lr:0.01000	Time 0.323 (0.354)	Loss 0.0069 (0.0517)	KL_Loss 0.0631 (0.1853)	Feat_map_Loss 0.4065 (0.3573)	Overall_Loss 0.2382 (0.2971)	Prec@1 96.875 (90.657)	
Epoch: [38][540/4095]	 lr:0.01000	Time 0.335 (0.354)	Loss 0.1079 (0.0515)	KL_Loss 0.1768 (0.1838)	Feat_map_Loss 0.4013 (0.3572)	Overall_Loss 0.3430 (0.2962)	Prec@1 90.625 (90.720)	
Epoch: [38][550/4095]	 lr:0.01000	Time 0.331 (0.353)	Loss 0.0705 (0.0512)	KL_Loss 0.1265 (0.1825)	Feat_map_Loss 0.3634 (0.3575)	Overall_Loss 0.2802 (0.2956)	Prec@1 93.750 (90.781)	
Epoch: [38][560/4095]	 lr:0.01000	Time 0.327 (0.353)	Loss 0.0562 (0.0507)	KL_Loss 0.1124 (0.1807)	Feat_map_Loss 0.4477 (0.3571)	Overall_Loss 0.3081 (0.2943)	Prec@1 95.312 (90.870)	
Epoch: [38][570/4095]	 lr:0.01000	Time 0.332 (0.353)	Loss 0.0035 (0.0504)	KL_Loss 0.0477 (0.1794)	Feat_map_Loss 0.2080 (0.3569)	Overall_Loss 0.1296 (0.2933)	Prec@1 98.438 (90.931)	
Epoch: [38][580/4095]	 lr:0.01000	Time 0.328 (0.353)	Loss 0.0433 (0.0502)	KL_Loss 0.1134 (0.1782)	Feat_map_Loss 0.3383 (0.3572)	Overall_Loss 0.2475 (0.2928)	Prec@1 95.312 (90.999)	
Epoch: [38][590/4095]	 lr:0.01000	Time 0.439 (0.352)	Loss 0.0232 (0.0498)	KL_Loss 0.0968 (0.1769)	Feat_map_Loss 0.3128 (0.3568)	Overall_Loss 0.2164 (0.2917)	Prec@1 93.750 (91.069)	
Epoch: [38][600/4095]	 lr:0.01000	Time 0.338 (0.352)	Loss 0.0176 (0.0492)	KL_Loss 0.0727 (0.1752)	Feat_map_Loss 0.3533 (0.3565)	Overall_Loss 0.2218 (0.2904)	Prec@1 93.750 (91.145)	
Epoch: [38][610/4095]	 lr:0.01000	Time 0.332 (0.352)	Loss 0.0246 (0.0492)	KL_Loss 0.1023 (0.1741)	Feat_map_Loss 0.3802 (0.3566)	Overall_Loss 0.2536 (0.2900)	Prec@1 93.750 (91.188)	
Epoch: [38][620/4095]	 lr:0.01000	Time 0.325 (0.352)	Loss 0.0485 (0.0491)	KL_Loss 0.1148 (0.1732)	Feat_map_Loss 0.3867 (0.3567)	Overall_Loss 0.2750 (0.2895)	Prec@1 90.625 (91.226)	
Epoch: [38][630/4095]	 lr:0.01000	Time 0.330 (0.352)	Loss 0.0617 (0.0488)	KL_Loss 0.1348 (0.1724)	Feat_map_Loss 0.3734 (0.3568)	Overall_Loss 0.2849 (0.2890)	Prec@1 92.188 (91.274)	
Epoch: [38][640/4095]	 lr:0.01000	Time 0.328 (0.352)	Loss 0.0023 (0.0485)	KL_Loss 0.0499 (0.1712)	Feat_map_Loss 0.3658 (0.3573)	Overall_Loss 0.2090 (0.2885)	Prec@1 100.000 (91.339)	
Epoch: [38][650/4095]	 lr:0.01000	Time 0.337 (0.352)	Loss 0.1505 (0.0482)	KL_Loss 0.1485 (0.1698)	Feat_map_Loss 0.4202 (0.3572)	Overall_Loss 0.3596 (0.2876)	Prec@1 87.500 (91.410)	
Epoch: [38][660/4095]	 lr:0.01000	Time 0.495 (0.351)	Loss 0.0267 (0.0483)	KL_Loss 0.0952 (0.1691)	Feat_map_Loss 0.3498 (0.3572)	Overall_Loss 0.2359 (0.2873)	Prec@1 93.750 (91.438)	
Epoch: [38][670/4095]	 lr:0.01000	Time 0.326 (0.351)	Loss 0.0679 (0.0482)	KL_Loss 0.1648 (0.1688)	Feat_map_Loss 0.3471 (0.3573)	Overall_Loss 0.2899 (0.2871)	Prec@1 93.750 (91.447)	
Epoch: [38][680/4095]	 lr:0.01000	Time 0.321 (0.351)	Loss 0.0034 (0.0478)	KL_Loss 0.0679 (0.1675)	Feat_map_Loss 0.3812 (0.3569)	Overall_Loss 0.2263 (0.2861)	Prec@1 100.000 (91.531)	
Epoch: [38][690/4095]	 lr:0.01000	Time 0.330 (0.351)	Loss 0.0169 (0.0475)	KL_Loss 0.0649 (0.1663)	Feat_map_Loss 0.3320 (0.3565)	Overall_Loss 0.2069 (0.2851)	Prec@1 95.312 (91.586)	
Epoch: [38][700/4095]	 lr:0.01000	Time 0.327 (0.351)	Loss 0.0207 (0.0471)	KL_Loss 0.0774 (0.1649)	Feat_map_Loss 0.2956 (0.3565)	Overall_Loss 0.1969 (0.2843)	Prec@1 96.875 (91.653)	
Epoch: [38][710/4095]	 lr:0.01000	Time 0.331 (0.351)	Loss 0.0134 (0.0468)	KL_Loss 0.0835 (0.1636)	Feat_map_Loss 0.3710 (0.3564)	Overall_Loss 0.2340 (0.2834)	Prec@1 95.312 (91.715)	
Epoch: [38][720/4095]	 lr:0.01000	Time 0.335 (0.351)	Loss 0.0647 (0.0466)	KL_Loss 0.1853 (0.1626)	Feat_map_Loss 0.3568 (0.3563)	Overall_Loss 0.3034 (0.2828)	Prec@1 89.062 (91.761)	
Epoch: [38][730/4095]	 lr:0.01000	Time 0.482 (0.350)	Loss 0.0192 (0.0462)	KL_Loss 0.0678 (0.1613)	Feat_map_Loss 0.2830 (0.3559)	Overall_Loss 0.1850 (0.2817)	Prec@1 95.312 (91.835)	
Epoch: [38][740/4095]	 lr:0.01000	Time 0.329 (0.350)	Loss 0.0179 (0.0458)	KL_Loss 0.0762 (0.1601)	Feat_map_Loss 0.3430 (0.3558)	Overall_Loss 0.2186 (0.2809)	Prec@1 98.438 (91.907)	
Epoch: [38][750/4095]	 lr:0.01000	Time 0.348 (0.350)	Loss 0.0870 (0.0458)	KL_Loss 0.1583 (0.1593)	Feat_map_Loss 0.4124 (0.3561)	Overall_Loss 0.3288 (0.2806)	Prec@1 89.062 (91.938)	
Epoch: [38][760/4095]	 lr:0.01000	Time 0.344 (0.350)	Loss 0.0308 (0.0455)	KL_Loss 0.1138 (0.1584)	Feat_map_Loss 0.4140 (0.3563)	Overall_Loss 0.2793 (0.2801)	Prec@1 90.625 (91.992)	
Epoch: [38][770/4095]	 lr:0.01000	Time 0.332 (0.350)	Loss 0.0029 (0.0454)	KL_Loss 0.0485 (0.1575)	Feat_map_Loss 0.2501 (0.3559)	Overall_Loss 0.1507 (0.2794)	Prec@1 100.000 (92.040)	
Epoch: [38][780/4095]	 lr:0.01000	Time 0.343 (0.350)	Loss 0.0411 (0.0451)	KL_Loss 0.0959 (0.1565)	Feat_map_Loss 0.3144 (0.3557)	Overall_Loss 0.2258 (0.2787)	Prec@1 93.750 (92.089)	
Epoch: [38][790/4095]	 lr:0.01000	Time 0.341 (0.350)	Loss 0.0016 (0.0448)	KL_Loss 0.0351 (0.1554)	Feat_map_Loss 0.3046 (0.3553)	Overall_Loss 0.1706 (0.2777)	Prec@1 100.000 (92.152)	
Epoch: [38][800/4095]	 lr:0.01000	Time 0.465 (0.350)	Loss 0.0331 (0.0445)	KL_Loss 0.0821 (0.1544)	Feat_map_Loss 0.3260 (0.3552)	Overall_Loss 0.2206 (0.2771)	Prec@1 95.312 (92.203)	
Epoch: [38][810/4095]	 lr:0.01000	Time 0.332 (0.353)	Loss 0.0240 (0.0444)	KL_Loss 0.0891 (0.1535)	Feat_map_Loss 0.3050 (0.3549)	Overall_Loss 0.2090 (0.2764)	Prec@1 96.875 (92.255)	
Epoch: [38][820/4095]	 lr:0.01000	Time 0.340 (0.353)	Loss 0.0450 (0.0442)	KL_Loss 0.0966 (0.1527)	Feat_map_Loss 0.3367 (0.3546)	Overall_Loss 0.2392 (0.2758)	Prec@1 92.188 (92.302)	
Epoch: [38][830/4095]	 lr:0.01000	Time 0.341 (0.353)	Loss 0.0184 (0.0439)	KL_Loss 0.0674 (0.1518)	Feat_map_Loss 0.3352 (0.3545)	Overall_Loss 0.2105 (0.2751)	Prec@1 96.875 (92.349)	
Epoch: [38][840/4095]	 lr:0.01000	Time 0.343 (0.353)	Loss 0.0222 (0.0437)	KL_Loss 0.0719 (0.1511)	Feat_map_Loss 0.2511 (0.3545)	Overall_Loss 0.1726 (0.2747)	Prec@1 95.312 (92.386)	
Epoch: [38][850/4095]	 lr:0.01000	Time 0.322 (0.353)	Loss 0.0091 (0.0435)	KL_Loss 0.0729 (0.1501)	Feat_map_Loss 0.3999 (0.3546)	Overall_Loss 0.2410 (0.2741)	Prec@1 98.438 (92.435)	
Epoch: [38][860/4095]	 lr:0.01000	Time 0.316 (0.353)	Loss 0.0344 (0.0432)	KL_Loss 0.0663 (0.1491)	Feat_map_Loss 0.4271 (0.3547)	Overall_Loss 0.2639 (0.2735)	Prec@1 95.312 (92.483)	
Epoch: [38][870/4095]	 lr:0.01000	Time 0.465 (0.353)	Loss 0.0697 (0.0431)	KL_Loss 0.1011 (0.1484)	Feat_map_Loss 0.3539 (0.3545)	Overall_Loss 0.2623 (0.2729)	Prec@1 95.312 (92.527)	
Epoch: [38][880/4095]	 lr:0.01000	Time 0.318 (0.353)	Loss 0.0033 (0.0429)	KL_Loss 0.0477 (0.1477)	Feat_map_Loss 0.2967 (0.3541)	Overall_Loss 0.1739 (0.2723)	Prec@1 100.000 (92.565)	
Epoch: [38][890/4095]	 lr:0.01000	Time 0.323 (0.353)	Loss 0.0100 (0.0427)	KL_Loss 0.0706 (0.1469)	Feat_map_Loss 0.3591 (0.3541)	Overall_Loss 0.2199 (0.2719)	Prec@1 96.875 (92.601)	
Epoch: [38][900/4095]	 lr:0.01000	Time 0.343 (0.355)	Loss 0.0614 (0.0425)	KL_Loss 0.1141 (0.1462)	Feat_map_Loss 0.3727 (0.3542)	Overall_Loss 0.2741 (0.2714)	Prec@1 95.312 (92.638)	
Epoch: [38][910/4095]	 lr:0.01000	Time 0.337 (0.355)	Loss 0.0043 (0.0423)	KL_Loss 0.0536 (0.1453)	Feat_map_Loss 0.3964 (0.3541)	Overall_Loss 0.2271 (0.2709)	Prec@1 100.000 (92.685)	
Epoch: [38][920/4095]	 lr:0.01000	Time 0.340 (0.355)	Loss 0.0663 (0.0421)	KL_Loss 0.1261 (0.1445)	Feat_map_Loss 0.3481 (0.3539)	Overall_Loss 0.2703 (0.2703)	Prec@1 92.188 (92.729)	
Epoch: [38][930/4095]	 lr:0.01000	Time 0.335 (0.355)	Loss 0.0087 (0.0419)	KL_Loss 0.0762 (0.1438)	Feat_map_Loss 0.3858 (0.3539)	Overall_Loss 0.2353 (0.2698)	Prec@1 96.875 (92.768)	
Epoch: [38][940/4095]	 lr:0.01000	Time 0.438 (0.355)	Loss 0.0052 (0.0416)	KL_Loss 0.0330 (0.1428)	Feat_map_Loss 0.2964 (0.3537)	Overall_Loss 0.1673 (0.2691)	Prec@1 98.438 (92.815)	
Epoch: [38][950/4095]	 lr:0.01000	Time 0.335 (0.354)	Loss 0.0583 (0.0413)	KL_Loss 0.0989 (0.1419)	Feat_map_Loss 0.3276 (0.3537)	Overall_Loss 0.2424 (0.2685)	Prec@1 95.312 (92.861)	
Epoch: [38][960/4095]	 lr:0.01000	Time 0.327 (0.354)	Loss 0.0096 (0.0411)	KL_Loss 0.0535 (0.1410)	Feat_map_Loss 0.2785 (0.3533)	Overall_Loss 0.1708 (0.2677)	Prec@1 98.438 (92.905)	
