Test: [100/331]	Time 0.072 (0.078)	Loss 0.0008 (0.0061)	Prec@1 100.000 (98.515)	
Test: [110/331]	Time 0.072 (0.079)	Loss 0.0042 (0.0059)	Prec@1 100.000 (98.592)	
Test: [120/331]	Time 0.068 (0.078)	Loss 0.0147 (0.0058)	Prec@1 96.875 (98.631)	
Test: [130/331]	Time 0.076 (0.078)	Loss 0.0015 (0.0054)	Prec@1 100.000 (98.736)	
Test: [140/331]	Time 0.068 (0.077)	Loss 0.0000 (0.0050)	Prec@1 100.000 (98.825)	
Test: [150/331]	Time 0.070 (0.077)	Loss 0.0000 (0.0047)	Prec@1 100.000 (98.903)	
Test: [160/331]	Time 0.067 (0.076)	Loss 0.0000 (0.0044)	Prec@1 100.000 (98.971)	
Test: [170/331]	Time 0.074 (0.076)	Loss 0.0000 (0.0042)	Prec@1 100.000 (99.013)	
Test: [180/331]	Time 0.072 (0.076)	Loss 0.0000 (0.0040)	Prec@1 100.000 (99.068)	
Test: [190/331]	Time 0.070 (0.075)	Loss 0.0000 (0.0038)	Prec@1 100.000 (99.116)	
Test: [200/331]	Time 0.068 (0.075)	Loss 0.0000 (0.0036)	Prec@1 100.000 (99.160)	
Test: [210/331]	Time 0.072 (0.075)	Loss 0.0000 (0.0034)	Prec@1 100.000 (99.200)	
Test: [220/331]	Time 0.072 (0.075)	Loss 0.0000 (0.0033)	Prec@1 100.000 (99.236)	
Test: [230/331]	Time 0.068 (0.075)	Loss 0.0004 (0.0032)	Prec@1 100.000 (99.249)	
Test: [240/331]	Time 0.072 (0.075)	Loss 0.0001 (0.0031)	Prec@1 100.000 (99.280)	
Test: [250/331]	Time 0.070 (0.074)	Loss 0.0000 (0.0030)	Prec@1 100.000 (99.309)	
Test: [260/331]	Time 0.068 (0.074)	Loss 0.0000 (0.0029)	Prec@1 100.000 (99.335)	
Test: [270/331]	Time 0.078 (0.074)	Loss 0.0049 (0.0028)	Prec@1 98.438 (99.348)	
Test: [280/331]	Time 0.072 (0.074)	Loss 0.0015 (0.0032)	Prec@1 100.000 (99.233)	
Test: [290/331]	Time 0.084 (0.074)	Loss 0.0742 (0.0052)	Prec@1 92.188 (98.862)	
Test: [300/331]	Time 0.074 (0.075)	Loss 0.1136 (0.0075)	Prec@1 54.688 (98.214)	
Test: [310/331]	Time 0.072 (0.075)	Loss 0.0222 (0.0077)	Prec@1 89.062 (98.121)	
Test: [320/331]	Time 0.076 (0.075)	Loss 0.0051 (0.0082)	Prec@1 98.438 (97.941)	
Test: [330/331]	Time 0.027 (0.074)	Loss 0.0121 (0.0084)	Prec@1 100.000 (97.922)	
Test: [0/331]	Time 0.626 (0.626)	Loss 0.0064 (0.0064)	Prec@1 98.438 (98.438)	
Test: [10/331]	Time 0.070 (0.132)	Loss 0.0029 (0.0053)	Prec@1 100.000 (98.580)	
Test: [20/331]	Time 0.072 (0.104)	Loss 0.0037 (0.0052)	Prec@1 98.438 (98.586)	
Test: [30/331]	Time 0.074 (0.094)	Loss 0.0159 (0.0051)	Prec@1 93.750 (98.639)	
Test: [40/331]	Time 0.081 (0.089)	Loss 0.0025 (0.0045)	Prec@1 100.000 (98.819)	
Test: [50/331]	Time 0.072 (0.086)	Loss 0.0000 (0.0040)	Prec@1 100.000 (98.958)	
Test: [60/331]	Time 0.061 (0.086)	Loss 0.0001 (0.0035)	Prec@1 100.000 (99.103)	
Test: [70/331]	Time 0.074 (0.084)	Loss 0.0122 (0.0033)	Prec@1 96.875 (99.142)	
Test: [80/331]	Time 0.072 (0.082)	Loss 0.0025 (0.0034)	Prec@1 100.000 (99.132)	
Test: [90/331]	Time 0.072 (0.082)	Loss 0.0008 (0.0041)	Prec@1 100.000 (99.056)	
Test: [100/331]	Time 0.070 (0.081)	Loss 0.0007 (0.0041)	Prec@1 100.000 (99.087)	
Test: [110/331]	Time 0.072 (0.080)	Loss 0.0001 (0.0038)	Prec@1 100.000 (99.169)	
Test: [120/331]	Time 0.068 (0.079)	Loss 0.0083 (0.0036)	Prec@1 98.438 (99.225)	
Test: [130/331]	Time 0.068 (0.078)	Loss 0.0041 (0.0034)	Prec@1 96.875 (99.249)	
Test: [140/331]	Time 0.070 (0.078)	Loss 0.0000 (0.0032)	Prec@1 100.000 (99.291)	
Test: [150/331]	Time 0.070 (0.077)	Loss 0.0000 (0.0030)	Prec@1 100.000 (99.338)	
Test: [160/331]	Time 0.072 (0.077)	Loss 0.0000 (0.0028)	Prec@1 100.000 (99.379)	
Test: [170/331]	Time 0.072 (0.076)	Loss 0.0000 (0.0026)	Prec@1 100.000 (99.406)	
Test: [180/331]	Time 0.072 (0.076)	Loss 0.0006 (0.0025)	Prec@1 100.000 (99.439)	
Test: [190/331]	Time 0.067 (0.076)	Loss 0.0000 (0.0024)	Prec@1 100.000 (99.468)	
Test: [200/331]	Time 0.072 (0.076)	Loss 0.0000 (0.0023)	Prec@1 100.000 (99.495)	
Test: [210/331]	Time 0.067 (0.075)	Loss 0.0004 (0.0022)	Prec@1 100.000 (99.519)	
Test: [220/331]	Time 0.081 (0.075)	Loss 0.0000 (0.0021)	Prec@1 100.000 (99.540)	
Test: [230/331]	Time 0.072 (0.075)	Loss 0.0033 (0.0021)	Prec@1 98.438 (99.533)	
Test: [240/331]	Time 0.068 (0.075)	Loss 0.0051 (0.0021)	Prec@1 100.000 (99.553)	
Test: [250/331]	Time 0.070 (0.075)	Loss 0.0000 (0.0020)	Prec@1 100.000 (99.558)	
Test: [260/331]	Time 0.068 (0.075)	Loss 0.0021 (0.0020)	Prec@1 100.000 (99.575)	
Test: [270/331]	Time 0.076 (0.075)	Loss 0.0210 (0.0020)	Prec@1 96.875 (99.579)	
Test: [280/331]	Time 0.078 (0.075)	Loss 0.0014 (0.0037)	Prec@1 100.000 (99.255)	
Test: [290/331]	Time 0.078 (0.075)	Loss 0.0258 (0.0064)	Prec@1 96.875 (98.663)	
Test: [300/331]	Time 0.074 (0.075)	Loss 0.0241 (0.0086)	Prec@1 93.750 (98.256)	
Test: [310/331]	Time 0.074 (0.075)	Loss 0.0050 (0.0087)	Prec@1 100.000 (98.226)	
Test: [320/331]	Time 0.072 (0.075)	Loss 0.0063 (0.0100)	Prec@1 98.438 (97.907)	
Test: [330/331]	Time 0.027 (0.074)	Loss 0.0101 (0.0108)	Prec@1 100.000 (97.648)	
Test: [0/331]	Time 0.643 (0.643)	Loss 0.0017 (0.0017)	Prec@1 100.000 (100.000)	
Test: [10/331]	Time 0.070 (0.133)	Loss 0.0012 (0.0027)	Prec@1 100.000 (99.432)	
Test: [20/331]	Time 0.076 (0.113)	Loss 0.0002 (0.0032)	Prec@1 100.000 (99.405)	
Test: [30/331]	Time 0.070 (0.100)	Loss 0.0005 (0.0024)	Prec@1 100.000 (99.546)	
Test: [40/331]	Time 0.072 (0.094)	Loss 0.0007 (0.0026)	Prec@1 100.000 (99.543)	
Test: [50/331]	Time 0.072 (0.090)	Loss 0.0000 (0.0022)	Prec@1 100.000 (99.571)	
Test: [60/331]	Time 0.059 (0.086)	Loss 0.0000 (0.0020)	Prec@1 100.000 (99.590)	
Test: [70/331]	Time 0.070 (0.084)	Loss 0.0010 (0.0020)	Prec@1 100.000 (99.582)	
Test: [80/331]	Time 0.072 (0.083)	Loss 0.0001 (0.0020)	Prec@1 100.000 (99.576)	
Test: [90/331]	Time 0.068 (0.081)	Loss 0.0000 (0.0021)	Prec@1 100.000 (99.536)	
Test: [100/331]	Time 0.067 (0.080)	Loss 0.0022 (0.0022)	Prec@1 98.438 (99.505)	
Test: [110/331]	Time 0.074 (0.079)	Loss 0.0005 (0.0021)	Prec@1 100.000 (99.550)	
